"('mid',)","('parentMid',)","('seasonNumber',)","('episodeNumber',)"
tt0020666,tt15180956,1,2
tt0020829,tt15180956,1,1
tt0021166,tt15180956,1,3
tt0021663,tt15180956,2,6
tt0021664,tt15180956,2,4
tt0021701,tt15180956,2,1
tt0021802,tt15180956,2,11
tt0022009,tt15180956,2,10
tt0022031,tt15180956,2,8
tt0022127,tt15180956,2,9
tt0022152,tt15180956,2,7
tt0022385,tt15180956,2,3
tt0022604,tt15180956,3,8
tt0022610,tt15180956,3,10
tt0022631,tt15180956,3,1
tt0022666,tt15180956,3,11
tt0022667,tt15180956,3,17
tt0022668,tt15180956,3,15
tt0022669,tt15180956,3,13
tt0022670,tt15180956,3,19
tt0022671,tt15180956,3,16
tt0022704,tt15180956,3,2
tt0022758,tt15180956,3,9
tt0022786,tt15180956,3,6
tt0022800,tt15180956,3,7
tt0023045,tt15180956,3,18
tt0023227,tt15180956,3,4
tt0023417,tt15180956,3,5
tt0023514,tt15180956,3,12
tt0023797,tt15180956,4,8
tt0023798,tt15180956,4,6
tt0023799,tt15180956,4,2
tt0023800,tt15180956,4,14
tt0023801,tt15180956,4,1
tt0023802,tt15180956,4,7
tt0023803,tt15180956,4,4
tt0024154,tt15180956,4,12
tt0024187,tt15180956,4,3
tt0024354,tt15180956,4,13
tt0024355,tt15180956,4,9
tt0024404,tt15180956,4,11
tt0024428,tt15180956,4,15
tt0024461,tt15180956,4,10
tt0024877,tt15180956,5,7
tt0024878,tt15180956,5,10
tt0024879,tt15180956,5,11
tt0024880,tt15180956,5,5
tt0024881,tt15180956,5,6
tt0024882,tt15180956,5,4
tt0025213,tt15180956,5,3
tt0025343,tt15180956,5,12
tt0025665,tt15180956,5,8
tt0025705,tt15180956,5,2
tt0025778,tt15180956,5,1
tt0025877,tt15180956,5,9
tt0026091,tt15180956,6,1
tt0026109,tt15180956,6,8
tt0026110,tt15180956,6,11
tt0026553,tt15180956,6,9
tt0026601,tt15180956,6,7
tt0026640,tt15180956,6,6
tt0026669,tt15180956,6,10
tt0026788,tt15180956,6,5
tt0027045,tt15180956,6,3
tt0027061,tt15180956,6,4
tt0027339,tt15180956,7,11
tt0027352,tt15180956,7,3
tt0027353,tt15180956,7,1
tt0027691,tt15180956,7,10
tt0027717,tt15180956,7,8
tt0027895,tt15180956,6,12
tt0027933,tt15180956,7,12
tt0027984,tt15180956,7,6
tt0028042,tt15180956,7,2
tt0028279,tt15180956,7,5
tt0028403,tt15180956,7,9
tt0028482,tt15180956,7,4
tt0028526,tt15180956,7,7
tt0028685,tt15180956,8,8
tt0028787,tt15180956,8,7
tt0028894,tt15180956,8,11
tt0029022,tt15180956,8,3
tt0029027,tt15180956,8,1
tt0029046,tt15180956,8,6
tt0029447,tt15180956,8,5
tt0029448,tt15180956,8,4
tt0029538,tt15180956,8,9
tt0029773,tt15180956,8,2
tt0030524,tt15180956,9,11
tt0030536,tt15180956,9,4
tt0030711,tt15180956,9,10
tt0031689,tt15180956,10,3
tt0031694,tt15180956,10,1
tt0031855,tt15180956,10,5
tt0031901,tt15180956,10,4
tt0031944,tt15180956,10,2
tt0037582,tt6280432,,
tt0045960,tt0044284,2,3
tt0046855,tt0046643,1,4
tt0048378,tt0047702,1,6
tt0048562,tt0047768,1,10
tt0049473,tt0046593,1,20
tt0049669,tt0048893,1,2
tt0050259,tt0048893,1,20
tt0050695,tt0046637,3,6
tt0051523,tt0048893,3,2
tt0054996,tt0320048,1,10
tt0055929,tt0046593,10,17
tt0055952,tt0259792,,
tt0056373,tt0046593,8,21
tt0056374,tt0990935,4,21
tt0056441,tt0046593,9,6
tt0056980,tt0259792,,
tt0057157,tt0046593,10,1
tt0057201,tt0046593,9,16
tt0058900,tt0259792,,
tt0059020,tt0058853,1,72
tt0059753,tt0060028,1,0
tt0059854,tt0058853,1,37
tt0060384,tt0233023,1,9
tt0061027,tt0060028,1,3
tt0061552,tt0200358,1,8
tt0063046,tt0062568,1,0
tt0063100,tt0260607,,
tt0063381,tt0200358,1,17
tt0063628,tt0200358,2,1
tt0064468,tt0165593,4,9
tt0064475,tt0065303,1,0
tt0064648,tt0065317,1,0
tt0064705,tt0046593,16,2
tt0064725,tt0065327,1,0
tt0065087,tt0063955,1,0
tt0065381,tt0066625,1,1
tt0066000,tt0066681,1,0
tt0066235,tt0066631,1,0
tt0066326,tt0065343,1,0
tt0066440,tt0806910,1,1
tt0066521,tt0055701,6,15
tt0066931,tt1466074,1,3
tt0066932,tt1466074,1,1
tt0066933,tt1466074,1,0
tt0066934,tt1466074,1,4
tt0067046,tt0068067,1,0
tt0067194,tt0068077,1,1
tt0067529,tt0066685,1,0
tt0067830,tt0806910,1,8
tt0067833,tt0806910,1,3
tt0068253,tt0068044,1,0
tt0068395,tt1466074,1,7
tt0068396,tt1466074,2,4
tt0068397,tt1466074,1,2
tt0068398,tt1466074,2,1
tt0068399,tt1466074,1,5
tt0068400,tt1466074,1,6
tt0068401,tt1466074,2,2
tt0068402,tt1466074,2,3
tt0068823,tt0068093,1,0
tt0068949,tt0165593,8,1
tt0069288,tt0069633,1,0
tt0069323,tt0068135,1,0
tt0069348,tt0806910,1,19
tt0069349,tt0806910,1,25
tt0069367,tt1414347,1,4
tt0069402,tt1414347,1,2
tt0069857,tt0297621,6,9
tt0069900,tt1466074,2,6
tt0069901,tt1466074,3,2
tt0069902,tt1466074,3,3
tt0069903,tt1466074,3,4
tt0069904,tt1466074,2,8
tt0069905,tt1466074,3,1
tt0069906,tt1466074,2,7
tt0070019,tt0164295,1,4
