"('mid',)","('pid',)"
tt0000001,nm0005690
tt0000002,nm0721526
tt0000003,nm0721526
tt0000004,nm0721526
tt0000005,nm0005690
tt0000006,nm0005690
tt0000007,nm0374658
tt0000007,nm0005690
tt0000008,nm0005690
tt0000009,nm0085156
tt0000010,nm0525910
tt0000011,nm0804434
tt0000012,nm0525910
tt0000012,nm0525908
tt0000013,nm0525910
tt0000014,nm0525910
tt0000015,nm0721526
tt0000016,nm0525910
tt0000017,nm1587194
tt0000017,nm0804434
tt0000018,nm0804434
tt0000020,nm0010291
tt0000022,nm0525910
tt0000023,nm0525910
tt0000026,nm0525910
tt0000027,nm0525910
tt0000028,nm0525910
tt0000029,nm0525910
tt0000030,nm0010291
tt0000030,nm0666972
tt0000031,nm0525910
tt0000032,nm0804434
tt0000033,nm0525910
tt0000034,nm0617588
tt0000036,nm0005690
tt0000038,nm0374658
tt0000041,nm0525910
tt0000048,nm0010291
tt0000062,nm0617588
tt0000069,nm0617588
tt0000070,nm0525910
tt0000075,nm0617588
tt0000076,nm0005690
tt0000089,nm0525908
tt0000089,nm0698645
tt0000091,nm0617588
tt0000108,nm0005690
tt0000109,nm0005690
tt0000110,nm0005690
tt0000111,nm0005690
tt0000112,nm0005690
tt0000113,nm0005690
tt0000117,nm0234288
tt0000123,nm0617588
tt0000131,nm0617588
tt0000132,nm0617588
tt0000138,nm0617588
tt0000140,nm0349785
tt0000143,nm0349785
tt0000144,nm0349785
tt0000147,nm0714557
tt0000150,nm0349785
tt0000152,nm0617588
tt0000153,nm0808310
tt0000159,nm0617588
tt0000162,nm0698645
tt0000164,nm0349785
tt0000165,nm0005717
tt0000167,nm0422809
tt0000170,nm0666972
tt0000172,nm0808310
tt0000174,nm0471818
tt0000175,nm0795060
tt0000177,nm0085865
tt0000178,nm0692105
tt0000182,nm0666972
tt0000184,nm0924920
tt0000190,nm0471818
tt0000192,nm0924920
tt0000208,nm0808310
tt0000211,nm0617588
tt0000213,nm0349785
tt0000215,nm0471818
tt0000218,nm0617588
tt0000222,nm0349785
tt0000228,nm0349785
tt0000230,nm0617588
tt0000235,nm0617588
tt0000239,nm0349785
tt0000242,nm0617588
tt0000246,nm0617588
tt0000247,nm2156608
tt0000247,nm0005690
tt0000247,nm0002504
tt0000248,nm0808310
tt0000251,nm0177862
tt0000264,nm0617588
tt0000269,nm0666972
tt0000272,nm0808310
tt0000273,nm0932055
tt0000274,nm0349785
tt0000284,nm0349785
tt0000286,nm0349785
tt0000287,nm0085865
tt0000287,nm0807236
tt0000288,nm0349785
tt0000296,nm0349785
tt0000299,nm0349785
tt0000300,nm0085865
tt0000301,nm0692105
tt0000302,nm0349785
tt0000304,nm0808310
tt0000306,nm0561109
tt0000309,nm0378408
tt0000313,nm0808310
tt0000319,nm0793094
tt0000321,nm0692105
tt0000340,nm0692105
tt0000341,nm0692105
tt0000346,nm0692105
tt0000349,nm0095816
tt0000350,nm0666972
tt0000353,nm0692105
tt0000355,nm0932055
tt0000357,nm0095816
tt0000358,nm0954087
tt0000359,nm0617588
tt0000363,nm0095816
tt0000364,nm0692105
tt0000370,nm0095816
tt0000377,nm0095816
tt0000384,nm0349785
tt0000387,nm0617588
tt0000387,nm0881616
tt0000388,nm0349785
tt0000399,nm2092030
tt0000399,nm0692105
tt0000409,nm0349785
tt0000410,nm0035502
tt0000413,nm0617588
tt0000414,nm0692105
tt0000416,nm0954087
tt0000417,nm0617588
tt0000420,nm0832948
tt0000420,nm0378408
tt0000423,nm0617588
tt0000430,nm0666972
tt0000432,nm0349785
tt0000436,nm0666972
tt0000436,nm0095816
tt0000437,nm0349785
tt0000439,nm0692105
tt0000440,nm0617588
tt0000447,nm2092030
tt0000447,nm0692105
tt0000451,nm0808310
tt0000452,nm0692105
tt0000455,nm0617588
tt0000464,nm0005690
tt0000465,nm0617588
tt0000469,nm0808310
tt0000471,nm0692105
tt0000479,nm0666972
tt0000480,nm0617588
tt0000487,nm0002615
tt0000488,nm0789748
tt0000492,nm0567363
tt0000495,nm0954087
tt0000498,nm0280432
tt0000498,nm0378408
tt0000499,nm0617588
tt0000516,nm0159015
tt0000519,nm0692105
tt0000521,nm0692105
tt0000524,nm0005658
tt0000534,nm0095816
tt0000546,nm0692105
tt0000546,nm0567363
tt0000553,nm0085865
tt0000554,nm0085865
tt0000557,nm0692105
tt0000565,nm0692105
tt0000567,nm0617588
tt0000574,nm0846879
tt0000575,nm0617588
tt0000576,nm0159015
tt0000582,nm0741382
tt0000582,nm0646058
tt0000602,nm0488932
tt0000614,nm0159015
tt0000614,nm0954087
tt0000621,nm0280432
tt0000628,nm0005658
tt0000628,nm0000428
tt0000637,nm0130633
tt0000637,nm0494039
tt0000640,nm0000428
tt0000641,nm0000428
tt0000645,nm0000428
tt0000648,nm0000428
tt0000648,nm1266490
tt0000653,nm0000428
tt0000654,nm0000428
tt0000658,nm0169871
tt0000669,nm0205986
tt0000682,nm0169871
tt0000684,nm0000428
tt0000728,nm0000428
tt0000749,nm0205986
tt0000752,nm0000428
tt0000755,nm0617588
tt0000756,nm0567363
tt0000764,nm0000428
tt0000769,nm0617588
tt0000770,nm0000428
tt0000790,nm0095816
tt0000797,nm0000428
tt0000800,nm0000428
tt0000816,nm0000428
tt0000821,nm0000428
tt0000828,nm0000428
tt0000831,nm0000428
tt0000832,nm0000428
tt0000833,nm0000428
tt0000835,nm0000428
tt0000840,nm0784407
tt0000840,nm0000428
tt0000852,nm0000428
tt0000854,nm0000428
tt0000871,nm0000428
tt0000878,nm0000428
tt0000882,nm0000428
tt0000895,nm0000428
tt0000904,nm0692105
tt0000922,nm0000428
tt0000924,nm0169871
tt0000938,nm0000428
tt0000942,nm0000428
tt0000960,nm0000428
tt0000966,nm0448682
tt0000966,nm0085865
tt0000971,nm0532622
tt0000986,nm0000428
tt0001001,nm0000428
tt0001009,nm0085865
tt0001013,nm0000428
tt0001014,nm0000428
tt0001016,nm0000428
tt0001032,nm0000428
tt0001044,nm0000428
tt0001062,nm0000428
tt0001072,nm0000428
tt0001083,nm0000428
tt0001084,nm0000428
tt0001091,nm0000428
tt0001105,nm0300487
tt0001106,nm0692105
tt0001118,nm0000428
tt0001120,nm0000428
tt0001150,nm0000428
tt0001207,nm0000428
tt0001218,nm0159015
tt0001223,nm0205986
tt0001227,nm0000428
tt0001256,nm0000428
tt0001258,nm0088881
tt0001265,nm0000428
tt0001314,nm0516263
tt0001371,nm0000428
tt0001378,nm0516263
tt0001431,nm0000428
tt0001439,nm0000428
tt0001452,nm0000428
tt0001458,nm0000428
tt0001463,nm0877783
tt0001469,nm0000428
tt0001488,nm0617588
tt0001499,nm0000428
tt0001527,nm0823088
tt0001544,nm0448682
tt0001544,nm0205986
tt0001544,nm0587929
tt0001545,nm0629589
tt0001557,nm0000428
