"('mid',)","('genre',)"
tt0000001,Documentary
tt0000001,Short
tt0000002,Animation
tt0000002,Short
tt0000003,Animation
tt0000003,Comedy
tt0000003,Romance
tt0000004,Animation
tt0000004,Short
tt0000005,Comedy
tt0000005,Short
tt0000006,Short
tt0000007,Short
tt0000007,Sport
tt0000008,Documentary
tt0000008,Short
tt0000009,Romance
tt0000009,Short
tt0000010,Documentary
tt0000010,Short
tt0000011,Documentary
tt0000011,Short
tt0000012,Documentary
tt0000012,Short
tt0000013,Documentary
tt0000013,Short
tt0000014,Comedy
tt0000014,Short
tt0000015,Animation
tt0000015,Short
tt0000016,Documentary
tt0000016,Short
tt0000017,Documentary
tt0000017,Short
tt0000018,Short
tt0000020,Documentary
tt0000020,Short
tt0000020,Sport
tt0000022,Documentary
tt0000022,Short
tt0000023,Documentary
tt0000023,Short
tt0000026,Documentary
tt0000026,Short
tt0000027,Documentary
tt0000027,Short
tt0000028,Documentary
tt0000028,Short
tt0000029,Documentary
tt0000029,Short
tt0000030,Documentary
tt0000030,Short
tt0000031,Documentary
tt0000031,Short
tt0000032,Short
tt0000033,Comedy
tt0000033,Documentary
tt0000033,Short
tt0000034,Documentary
tt0000034,Short
tt0000036,Drama
tt0000036,Short
tt0000038,Documentary
tt0000038,Short
tt0000038,Sport
tt0000041,Comedy
tt0000041,Documentary
tt0000041,Short
tt0000048,Short
tt0000062,Short
tt0000069,Short
tt0000070,Documentary
tt0000070,Short
tt0000075,Horror
tt0000075,Short
tt0000076,Drama
tt0000076,Short
tt0000089,Documentary
tt0000089,Short
tt0000091,Horror
tt0000091,Short
tt0000104,Documentary
tt0000104,Short
tt0000108,Drama
tt0000108,Short
tt0000109,Fantasy
tt0000109,Short
tt0000110,Fantasy
tt0000110,Short
tt0000111,Drama
tt0000111,Short
tt0000112,Fantasy
tt0000112,Short
tt0000113,Drama
tt0000113,Short
tt0000117,Documentary
tt0000117,Short
tt0000123,Short
tt0000131,Comedy
tt0000131,Horror
tt0000131,Short
tt0000132,Biography
tt0000132,Short
tt0000138,Comedy
tt0000138,Horror
tt0000138,Short
tt0000140,Short
tt0000143,Comedy
tt0000143,Short
tt0000144,Comedy
tt0000144,Short
tt0000147,Documentary
tt0000147,News
tt0000147,Short
tt0000150,Documentary
tt0000150,Short
tt0000152,Fantasy
tt0000152,Horror
tt0000152,Short
tt0000153,Horror
tt0000153,Short
tt0000159,Horror
tt0000159,Short
tt0000162,Documentary
tt0000162,Short
tt0000164,Comedy
tt0000164,Short
tt0000165,Short
tt0000167,Documentary
tt0000167,Short
tt0000170,Comedy
tt0000170,Short
tt0000172,Comedy
tt0000172,Horror
tt0000172,Short
tt0000174,Comedy
tt0000174,Short
tt0000175,Documentary
tt0000175,Short
tt0000177,Crime
tt0000177,Short
tt0000178,Horror
tt0000178,Short
tt0000182,Comedy
tt0000182,Short
tt0000184,Short
tt0000184,Western
tt0000190,Comedy
tt0000190,Short
tt0000192,Short
tt0000208,Comedy
tt0000208,Short
tt0000211,Comedy
tt0000211,Fantasy
tt0000211,Horror
tt0000213,Short
tt0000215,Documentary
tt0000215,Short
tt0000218,Biography
tt0000218,Drama
tt0000218,Short
tt0000222,Comedy
tt0000222,Short
tt0000228,Short
tt0000229,Short
tt0000229,Sport
tt0000230,Drama
tt0000230,Family
tt0000230,Fantasy
tt0000235,Adventure
tt0000235,Fantasy
tt0000235,Horror
tt0000239,Short
tt0000242,Fantasy
tt0000242,Horror
tt0000242,Short
tt0000246,Fantasy
tt0000246,Short
tt0000247,Drama
tt0000247,Short
tt0000248,Comedy
tt0000248,Romance
tt0000248,Short
tt0000251,Animation
tt0000251,Short
tt0000256,Documentary
tt0000256,Short
tt0000264,Fantasy
tt0000264,Horror
tt0000264,Short
tt0000265,Comedy
