"('mid',)","('titleType',)","('primaryTitle',)","('originalTitle',)","('isAdult',)","('startYear',)","('endYear',)","('runtimeMinutes',)"
tt0000001,short,Carmencita,Carmencita,0,1894,,1
tt0000002,short,Le clown et ses chiens,Le clown et ses chiens,0,1892,,5
tt0000003,short,Pauvre Pierrot,Pauvre Pierrot,0,1892,,4
tt0000004,short,Un bon bock,Un bon bock,0,1892,,12
tt0000005,short,Blacksmith Scene,Blacksmith Scene,0,1893,,1
tt0000006,short,Chinese Opium Den,Chinese Opium Den,0,1894,,1
tt0000007,short,Corbett and Courtney Before the Kinetograph,Corbett and Courtney Before the Kinetograph,0,1894,,1
tt0000008,short,Edison Kinetoscopic Record of a Sneeze,Edison Kinetoscopic Record of a Sneeze,0,1894,,1
tt0000009,short,Miss Jerry,Miss Jerry,0,1894,,40
tt0000010,short,Leaving the Factory,La sortie de l'usine Lumière à Lyon,0,1895,,1
tt0000011,short,Akrobatisches Potpourri,Akrobatisches Potpourri,0,1895,,1
tt0000012,short,The Arrival of a Train,L'arrivée d'un train à La Ciotat,0,1896,,1
tt0000013,short,The Photographical Congress Arrives in Lyon,Le débarquement du congrès de photographie à Lyon,0,1895,,1
tt0000014,short,The Waterer Watered,L'arroseur arrosé,0,1895,,1
tt0000015,short,Autour d'une cabine,Autour d'une cabine,0,1894,,2
tt0000016,short,Boat Leaving the Port,Barque sortant du port,0,1895,,1
tt0000017,short,Italienischer Bauerntanz,Italienischer Bauerntanz,0,1895,,1
tt0000018,short,Das boxende Känguruh,Das boxende Känguruh,0,1895,,1
tt0000020,short,The Derby 1895,The Derby 1895,0,1895,,1
tt0000022,short,Blacksmith Scene,Les forgerons,0,1895,,1
tt0000023,short,The Sea,Baignade en mer,0,1895,,1
tt0000026,short,The Messers. Lumière at Cards,Partie d'écarté,0,1896,,1
tt0000027,short,Cordeliers' Square in Lyon,Place des Cordeliers à Lyon,0,1895,,1
tt0000028,short,Fishing for Goldfish,La pêche aux poissons rouges,0,1895,,1
tt0000029,short,Baby's Meal,Repas de bébé,0,1895,,1
tt0000030,short,Rough Sea at Dover,Rough Sea at Dover,0,1895,,1
tt0000031,short,Jumping the Blanket,Le saut à la couverture,0,1895,,1
tt0000032,short,Die Serpentintänzerin,Die Serpentintänzerin,0,1895,,1
tt0000033,short,Horse Trick Riders,La voltige,0,1895,,1
tt0000034,short,Arrivée d'un train gare de Vincennes,Arrivée d'un train gare de Vincennes,0,1896,,1
tt0000036,short,Awakening of Rip,Awakening of Rip,0,1896,,0
tt0000038,short,The Ball Game,The Ball Game,0,1898,,
tt0000041,short,Bataille de neige,Bataille de neige,0,1897,,1
tt0000048,short,The Boxing Kangaroo,The Boxing Kangaroo,0,1896,,
tt0000062,short,Danse serpentine,Danse serpentine,0,1896,,1
tt0000069,short,Post No Bills,Défense d'afficher,0,1896,,1
tt0000070,short,Demolition of a Wall,Démolition d'un mur,0,1896,,1
tt0000075,short,The Conjuring of a Woman at the House of Robert Houdin,Escamotage d'une dame au théâtre Robert Houdin,0,1896,,1
tt0000076,short,Exit of Rip and the Dwarf,Exit of Rip and the Dwarf,0,1896,,1
tt0000089,short,Leaving Jerusalem by Railway,Départ de Jérusalem en chemin de fer,0,1897,,1
tt0000091,short,The House of the Devil,Le manoir du diable,0,1896,,3
tt0000104,short,Pompiers à Lyon,Pompiers à Lyon,0,1896,,1
