"('mid',)","('averageRating',)","('numVotes',)"
tt0000001,5.7,1864
tt0000002,6.0,244
tt0000003,6.5,1633
tt0000004,5.8,158
tt0000005,6.2,2459
tt0000006,5.2,164
tt0000007,5.5,766
tt0000008,5.4,2007
tt0000009,5.4,192
tt0000010,6.9,6726
tt0000011,5.3,343
tt0000012,7.4,11551
tt0000013,5.7,1782
tt0000014,7.1,5181
tt0000015,6.2,984
tt0000016,5.9,1389
tt0000017,4.6,305
tt0000018,5.3,559
tt0000020,4.8,330
tt0000022,5.1,1026
tt0000023,5.7,1345
tt0000026,5.7,1455
tt0000027,5.6,1083
tt0000028,5.1,997
tt0000029,5.9,3180
tt0000030,5.2,795
tt0000031,5.5,952
tt0000032,5.0,394
tt0000033,5.5,966
tt0000034,5.0,187
tt0000036,4.4,577
tt0000038,4.2,192
tt0000041,6.8,1713
tt0000048,4.9,175
tt0000062,6.4,188
tt0000069,4.9,423
tt0000070,6.4,2529
tt0000075,6.3,1798
tt0000076,4.5,509
tt0000089,6.3,948
tt0000091,6.7,3326
tt0000104,5.6,447
tt0000108,4.4,518
tt0000109,4.5,503
tt0000110,4.4,507
tt0000111,4.5,521
tt0000112,4.5,501
tt0000113,4.3,525
tt0000117,5.2,155
tt0000123,5.7,118
tt0000131,5.8,1303
tt0000132,5.1,1004
tt0000138,6.5,1050
tt0000140,4.9,275
tt0000143,4.9,244
tt0000144,5.2,292
tt0000147,5.2,437
tt0000150,5.4,156
tt0000152,6.1,231
tt0000153,5.7,411
tt0000159,5.3,113
tt0000162,5.4,452
tt0000164,5.1,286
tt0000165,4.7,116
tt0000167,4.0,134
tt0000170,5.2,235
tt0000172,6.1,845
tt0000174,4.6,124
tt0000175,5.0,205
tt0000177,4.7,232
tt0000178,5.2,168
tt0000182,4.9,530
tt0000184,4.9,310
tt0000190,4.9,138
tt0000192,4.6,179
tt0000208,5.7,540
tt0000211,7.5,4029
tt0000213,4.6,223
tt0000215,4.1,120
tt0000218,5.9,603
tt0000222,4.7,221
tt0000228,4.9,261
tt0000229,4.4,106
tt0000230,6.5,1563
tt0000235,6.3,820
tt0000239,5.5,230
tt0000242,6.4,1126
tt0000246,6.4,1001
tt0000247,5.0,467
tt0000248,6.0,1512
tt0000251,5.4,126
tt0000256,4.7,164
tt0000264,5.7,414
tt0000265,4.3,135
tt0000269,4.8,127
tt0000272,5.6,796
tt0000273,5.5,585
tt0000274,5.6,236
tt0000284,5.3,219
tt0000286,5.7,225
tt0000287,4.9,157
tt0000288,5.2,192
tt0000296,5.8,239
tt0000299,5.6,236
tt0000300,6.9,1202
tt0000301,4.4,387
tt0000302,5.1,196
tt0000304,6.1,1144
tt0000306,5.4,225
tt0000309,6.1,823
tt0000313,5.8,760
tt0000319,5.7,194
tt0000321,4.8,216
tt0000337,5.0,357
tt0000340,4.9,293
tt0000341,4.9,348
tt0000346,4.8,215
tt0000347,4.5,110
tt0000349,5.6,125
tt0000350,5.8,705
tt0000353,5.3,345
tt0000355,6.2,682
tt0000357,5.8,430
tt0000358,6.2,682
tt0000359,7.1,2825
tt0000363,6.3,147
tt0000364,5.6,161
tt0000370,5.6,468
tt0000377,6.2,115
tt0000384,5.8,259
tt0000387,5.1,351
tt0000388,5.2,126
tt0000399,6.1,729
tt0000409,5.2,220
tt0000410,6.7,983
tt0000413,5.5,430
tt0000414,5.4,730
tt0000416,5.3,152
tt0000417,8.2,48006
tt0000420,6.2,2575
tt0000423,5.5,227
tt0000430,5.9,673
tt0000432,5.7,207
tt0000436,6.2,497
tt0000437,5.2,250
tt0000439,7.3,18817
tt0000440,5.5,215
tt0000447,6.4,2365
tt0000451,6.6,866
tt0000452,4.7,108
tt0000455,6.8,1791
tt0000464,4.7,426
tt0000465,7.3,1508
tt0000469,5.8,1014
tt0000471,5.1,472
tt0000479,5.3,380
tt0000480,5.1,191
tt0000487,6.9,500
tt0000488,6.9,787
tt0000492,5.0,118
tt0000495,6.0,110
tt0000498,6.7,1165
tt0000499,7.5,3527
tt0000516,6.6,980
tt0000519,5.7,358
tt0000521,5.5,290
tt0000524,5.8,735
tt0000534,6.6,1128
tt0000546,6.7,1840
tt0000553,6.5,401
tt0000554,6.3,1264
tt0000557,4.7,132
tt0000565,6.3,581
tt0000567,6.8,1159
tt0000574,6.0,756
tt0000575,5.7,484
tt0000576,6.1,227
tt0000582,4.8,688
tt0000602,4.6,216
tt0000614,6.6,1029
tt0000621,6.5,579
tt0000628,5.7,812
tt0000637,5.5,675
tt0000640,4.5,137
tt0000641,4.8,162
tt0000645,5.1,168
tt0000648,4.6,156
tt0000653,4.5,205
tt0000654,5.2,104
tt0000658,6.5,225
tt0000669,4.8,154
tt0000682,6.9,2445
tt0000684,5.2,119
tt0000728,5.9,119
tt0000749,5.7,769
tt0000752,5.1,117
tt0000755,5.8,191
tt0000756,5.4,117
tt0000764,5.7,129
tt0000769,5.3,150
tt0000770,5.5,144
tt0000790,6.2,333
tt0000797,5.4,164
tt0000800,5.4,108
tt0000816,4.8,122
tt0000821,4.9,115
tt0000828,5.3,107
tt0000831,5.3,130
tt0000832,6.6,2399
tt0000833,6.4,664
tt0000835,5.0,147
tt0000840,5.6,324
tt0000852,5.7,229
tt0000854,6.0,492
tt0000871,5.8,111
