"('mid',)","('pid',)"
tt0000009,nm0085156
tt0000036,nm0410331
tt0000076,nm0410331
tt0000091,nm0617588
tt0000108,nm0410331
tt0000109,nm0410331
tt0000110,nm0410331
tt0000111,nm0410331
tt0000112,nm0410331
tt0000113,nm0410331
tt0000132,nm0617588
tt0000138,nm0617588
tt0000165,nm0005717
tt0000174,nm0841389
tt0000190,nm0841389
tt0000192,nm0238900
tt0000211,nm0617588
tt0000215,nm0841389
tt0000218,nm0617588
tt0000229,nm0857203
tt0000230,nm0674518
tt0000235,nm0353584
tt0000242,nm0617588
tt0000247,nm0000636
tt0000247,nm0002504
tt0000273,nm0932055
tt0000301,nm0324473
tt0000306,nm0000636
tt0000358,nm0954087
tt0000363,nm0095816
tt0000370,nm1304340
tt0000370,nm0002042
tt0000413,nm0617588
tt0000416,nm0954087
tt0000416,nm0957652
tt0000417,nm0617588
tt0000417,nm0894523
tt0000417,nm0920229
tt0000420,nm0140902
tt0000420,nm0378408
tt0000439,nm1145809
tt0000439,nm0692105
tt0000447,nm0692105
tt0000464,nm0099105
tt0000464,nm0005690
tt0000464,nm0410331
tt0000464,nm0420198
tt0000465,nm0617588
tt0000465,nm1340310
tt0000471,nm0832952
tt0000488,nm0794919
tt0000498,nm1539443
tt0000499,nm0617588
tt0000499,nm0894523
tt0000499,nm0257866
tt0000546,nm0565560
tt0000557,nm0601940
tt0000565,nm0601061
tt0000567,nm0182945
tt0000567,nm9551905
tt0000574,nm0846879
tt0000575,nm0894523
tt0000582,nm0310155
tt0000582,nm0908753
tt0000602,nm0630737
tt0000614,nm0159015
tt0000628,nm0853193
tt0000637,nm0491819
tt0000640,nm0000428
tt0000641,nm0000428
tt0000645,nm0000428
tt0000653,nm0000428
tt0000654,nm0000428
tt0000684,nm0000428
tt0000728,nm0000428
tt0000752,nm0000428
tt0000764,nm0000428
tt0000764,nm0393524
tt0000764,nm0940488
tt0000770,nm0000428
tt0000770,nm0000636
tt0000770,nm0813603
tt0000790,nm0095816
tt0000797,nm0000428
tt0000800,nm0681933
tt0000816,nm0000428
tt0000828,nm0000428
tt0000831,nm0000428
tt0000832,nm0000428
tt0000832,nm0635805
tt0000832,nm0940488
tt0000833,nm0000428
tt0000835,nm0002042
tt0000835,nm0940488
tt0000840,nm0005658
tt0000840,nm0000428
tt0000840,nm0784407
tt0000852,nm0000428
tt0000854,nm0000428
tt0000854,nm0940488
tt0000871,nm0940488
tt0000878,nm0000428
tt0000882,nm0000428
tt0000895,nm0000428
tt0000895,nm0940488
tt0000904,nm0692105
tt0000922,nm0000428
tt0000938,nm0000428
tt0000942,nm4117830
tt0000942,nm0520524
tt0000942,nm0784407
tt0000960,nm0853193
