"('mid',)","('ordering',)","('title',)","('region',)","('language',)","('types',)","('attributes',)","('isOriginalTitle',)"
tt0012349,10,The Kid,,,original,,1
tt0012349,11,Kid,CZ,,imdbDisplay,,0
tt0012349,12,El chico,MX,,,DVD box title,0
tt0012349,13,The Kid,US,,imdbDisplay,,0
tt0012349,14,キッド（1921）,JP,ja,imdbDisplay,,0
tt0012349,15,Малишан,RS,,imdbDisplay,,0
tt0012349,16,Der Vagabund und das Kind,DE,,,,0
tt0012349,17,Đứa Trẻ,VN,,imdbDisplay,,0
tt0012349,18,寻子遇仙记,CN,cmn,imdbDisplay,,0
tt0012349,19,Småen,NO,,imdbDisplay,,0
tt0012349,1,A kölyök,HU,,imdbDisplay,,0
tt0012349,20,Le gosse,CA,fr,imdbDisplay,,0
tt0012349,21,El chiquillo,MX,,imdbDisplay,,0
tt0012349,22,Малишан,XYU,sr,imdbDisplay,,0
tt0012349,23,Chaplins plejebarn,DK,,imdbDisplay,,0
tt0012349,24,The Kid,GB,,imdbDisplay,,0
tt0012349,25,Yumurcak,TR,tr,imdbDisplay,,0
tt0012349,26,El pibe,UY,,,original subtitled version,0
tt0012349,27,Pesar bache,IR,fa,alternative,,0
tt0012349,28,Mažylis,LT,,imdbDisplay,,0
tt0012349,29,El Pibe,PE,,imdbDisplay,,0
tt0012349,2,El chico,ES,,imdbDisplay,,0
tt0012349,30,Ο Σαρλώ και το χαμίνι,GR,,,reissue title,0
tt0012349,31,Mališan,HR,,imdbDisplay,,0
tt0012349,32,Deček,SI,,imdbDisplay,,0
tt0012349,33,孤兒流浪記,TW,,imdbDisplay,,0
tt0012349,34,Koudak,IR,fa,imdbDisplay,,0
tt0012349,35,Charlies plejebarn,DK,,dvd,,0
tt0012349,36,El xicot,ES,ca,,,0
tt0012349,37,The Kid,CA,en,imdbDisplay,,0
tt0012349,38,Хлапето,BG,bg,imdbDisplay,,0
tt0012349,39,El chico,AR,,alternative,,0
tt0012349,3,Chaplinin poika,FI,,,,0
tt0012349,40,The Kid,EE,,imdbDisplay,,0
tt0012349,41,Το χαμίνι,GR,,imdbDisplay,,0
tt0012349,42,O Garoto,BR,,imdbDisplay,,0
tt0012349,43,Chaplins pojke,SE,,,,0
tt0012349,44,The Kid,IN,en,imdbDisplay,,0
tt0012349,45,Малюк,UA,,imdbDisplay,,0
tt0012349,46,O Garoto de Charlot,PT,,,,0
tt0012349,47,Piciul,RO,,imdbDisplay,,0
tt0012349,48,Altefl,EG,ar,imdbDisplay,,0
tt0012349,49,Il monello,IT,,,,0
tt0012349,4,Brzdąc,PL,,imdbDisplay,,0
tt0012349,5,The Kid,AU,,imdbDisplay,,0
